
23.555153131484985['note_on', 88, 67.52000000000001, 23.5551527564633, 'accompaniment', 0]
26.69185495376587['note_on', 89, 77.84, 26.68799873837051, 'accompaniment', 1]
26.70407485961914['note_off', 88, 100, 26.68899873837051, 'accompaniment', 0]
28.83192014694214['note_on', 89, 75.44, 28.83191946514125, 'accompaniment', 2]
29.117419004440308['note_on', 91, 74.47999999999999, 29.114834717856343, 'accompaniment', 3]
29.142278909683228['note_off', 89, 100, 29.115834717856345, 'accompaniment', 2]
30.64708185195923['note_on', 86, 78.56, 30.64708126979132, 'accompaniment', 4]
30.64808177947998['note_off', 91, 100, 30.648081269791323, 'accompaniment', 3]
30.757020950317383['note_off', 91, 100, 30.75701998840332, 'accompaniment', 3]
31.50791096687317['note_on', 88, 75.68, 31.50791076195497, 'accompaniment', 5]
31.5089111328125['note_off', 86, 100, 31.508910761954972, 'accompaniment', 4]
31.703393936157227['note_off', 86, 100, 31.70339392791748, 'accompaniment', 4]
35.24026799201965['note_on', 93, 79.52, 35.231646640587414, 'accompaniment', 6]
35.25245904922485['note_off', 88, 100, 35.23264664058741, 'accompaniment', 5]
36.84645080566406['note_on', 81, 78.8, 36.840539851531986, 'accompaniment', 7]
36.846660137176514['note_off', 93, 100, 36.841539851531984, 'accompaniment', 6]
37.12368106842041['note_on', 83, 74.72, 37.1123421424024, 'accompaniment', 8]
37.130048990249634['note_off', 81, 100, 37.113342142402395, 'accompaniment', 7]
37.36556887626648['note_on', 84, 75.68, 37.359245324846306, 'accompaniment', 9]
37.37641906738281['note_off', 83, 100, 37.360245324846304, 'accompaniment', 8]
37.62849998474121['note_on', 86, 77.12, 37.625402991656365, 'accompaniment', 10]
37.62856197357178['note_off', 84, 100, 37.62640299165636, 'accompaniment', 9]
38.30518078804016['note_on', 88, 90.55999999999999, 38.305180010209554, 'accompaniment', 11]
38.3115451335907['note_off', 86, 100, 38.30618001020955, 'accompaniment', 10]
38.51202893257141['note_on', 86, 94.64, 38.5120287881534, 'accompaniment', 12]
38.524641036987305['note_off', 88, 100, 38.5130287881534, 'accompaniment', 11]
39.272335052490234['note_on', 91, 93.2, 39.27233424136054, 'accompaniment', 13]
39.28891682624817['note_off', 86, 100, 39.27333424136054, 'accompaniment', 12]
40.17476296424866['note_on', 79, 87.67999999999999, 40.16327489826247, 'accompaniment', 14]
40.18725395202637['note_off', 91, 100, 40.16427489826247, 'accompaniment', 13]
40.3503201007843['note_on', 81, 87.92, 40.34539975217736, 'accompaniment', 15]
40.36290788650513['note_off', 79, 100, 40.346399752177355, 'accompaniment', 14]
40.429089069366455['note_off', 79, 100, 40.42908882270813, 'accompaniment', 14]
40.55143189430237['note_on', 83, 80.24000000000001, 40.55143176860784, 'accompaniment', 16]
40.5524320602417['note_off', 81, 100, 40.55243176860784, 'accompaniment', 15]
40.64171099662781['note_off', 81, 100, 40.641684047088624, 'accompaniment', 15]
40.78309917449951['note_on', 84, 83.9, 40.777706964641446, 'accompaniment', 17]
40.801979780197144['note_off', 83, 100, 40.778706964641444, 'accompaniment', 16]
41.3327910900116['note_on', 86, 88.39999999999999, 41.33279086980248, 'accompaniment', 18]
41.35797905921936['note_off', 84, 100, 41.33379086980248, 'accompaniment', 17]
41.50857496261597['note_on', 84, 94.39999999999999, 41.50857415344859, 'accompaniment', 19]
41.50957417488098['note_off', 86, 100, 41.50957415344859, 'accompaniment', 18]
42.24245500564575['note_on', 96, 86.24, 42.23950472061104, 'accompaniment', 20]
42.252549171447754['note_off', 84, 100, 42.240504720611035, 'accompaniment', 19]
43.2137987613678['note_on', 84, 80.0, 43.213798639101036, 'accompaniment', 21]
43.21479892730713['note_off', 96, 100, 43.21479863910103, 'accompaniment', 20]
43.38960003852844['note_on', 86, 86.24, 43.38811311794419, 'accompaniment', 22]
43.408565044403076['note_off', 84, 100, 43.389113117944184, 'accompaniment', 21]
43.59019112586975['note_on', 88, 86.3, 43.58420175671431, 'accompaniment', 23]
43.60281491279602['note_off', 86, 100, 43.585201756714305, 'accompaniment', 22]
43.738579988479614['note_off', 86, 100, 43.73857902656555, 'accompaniment', 22]
43.84653306007385['note_on', 90, 73.69999999999999, 43.846532464871665, 'accompaniment', 24]
43.85913109779358['note_off', 88, 100, 43.84753246487166, 'accompaniment', 23]
44.49930787086487['note_on', 88, 90.08, 44.48950107186891, 'accompaniment', 25]
44.49936294555664['note_off', 90, 100, 44.490501071868906, 'accompaniment', 24]
44.693559885025024['note_on', 86, 89.0, 44.693559319459446, 'accompaniment', 26]
44.69986081123352['note_off', 88, 100, 44.694559319459444, 'accompaniment', 25]
45.03337383270264['note_on', 81, 79.28, 45.03337380515734, 'accompaniment', 27]
45.03437399864197['note_off', 86, 100, 45.03437380515734, 'accompaniment', 26]
45.42124700546265['note_on', 83, 86.47999999999999, 45.42124683748061, 'accompaniment', 28]
45.4222469329834['note_off', 81, 100, 45.42224683748061, 'accompaniment', 27]
46.5164270401001['note_on', 86, 83.0, 46.50289149602096, 'accompaniment', 29]
46.51647996902466['note_off', 83, 100, 46.503891496020955, 'accompaniment', 28]
46.933899879455566['note_on', 88, 75.19999999999999, 46.92898209419702, 'accompaniment', 30]
46.933956146240234['note_off', 86, 100, 46.929982094197015, 'accompaniment', 29]
47.06548500061035['note_off', 86, 100, 47.05749200950623, 'accompaniment', 29]
48.34367108345032['note_on', 88, 69.5, 48.33624423658467, 'accompaniment', 31]
48.59092903137207['note_on', 89, 69.44, 48.59092895065308, 'accompaniment', 32]
48.603529930114746['note_off', 88, 100, 48.59192895065308, 'accompaniment', 31]
48.86462903022766['note_on', 91, 73.75999999999999, 48.8594882215956, 'accompaniment', 33]
48.870944023132324['note_off', 89, 100, 48.860488221595595, 'accompaniment', 32]
48.96314001083374['note_off', 89, 100, 48.956526986465455, 'accompaniment', 32]
49.15667510032654['note_on', 93, 74.96, 49.15667393586815, 'accompaniment', 34]
49.15767502784729['note_off', 91, 100, 49.15767393586815, 'accompaniment', 33]
49.245073080062866['note_off', 91, 100, 49.24356793533325, 'accompaniment', 33]
50.33601999282837['note_on', 81, 70.64, 50.336019350460866, 'accompaniment', 35]
50.33701992034912['note_off', 93, 100, 50.337019350460864, 'accompaniment', 34]
50.40302896499634['note_off', 93, 100, 50.40302895675659, 'accompaniment', 34]
50.52102494239807['note_on', 81, 68.24000000000001, 50.515387392890155, 'accompaniment', 36]
51.70288681983948['note_on', 86, 77.9, 51.69749058006926, 'accompaniment', 37]
51.70294499397278['note_off', 81, 100, 51.698490580069254, 'accompaniment', 36]
53.3976149559021['note_on', 86, 79.1, 53.39761423452533, 'accompaniment', 38]
53.719951152801514['note_on', 88, 81.44, 53.71995049355484, 'accompaniment', 39]
53.720951080322266['note_off', 86, 100, 53.72095049355484, 'accompaniment', 38]
53.80146789550781['note_off', 86, 100, 53.79337691436768, 'accompaniment', 38]
54.05993175506592['note_on', 89, 75.44, 54.05787205424135, 'accompaniment', 40]
54.07853698730469['note_off', 88, 100, 54.05887205424135, 'accompaniment', 39]
54.319445848464966['note_on', 91, 72.32, 54.31944505249024, 'accompaniment', 41]
54.32578897476196['note_off', 89, 100, 54.320445052490236, 'accompaniment', 40]
55.34299302101135['note_on', 79, 79.28, 55.34024430117559, 'accompaniment', 42]
55.35556602478027['note_off', 91, 100, 55.341244301175585, 'accompaniment', 41]
55.485679149627686['note_on', 79, 81.67999999999999, 55.48542778316222, 'accompaniment', 43]
56.476733922958374['note_on', 84, 83.9, 56.47673355580272, 'accompaniment', 44]
56.477734088897705['note_off', 79, 100, 56.477733555802715, 'accompaniment', 43]
56.57713794708252['note_off', 79, 100, 56.57513474594116, 'accompaniment', 43]
58.45216989517212['note_on', 84, 68.9, 58.45216921414507, 'accompaniment', 45]
58.88522219657898['note_on', 86, 74.72, 58.88522194358302, 'accompaniment', 46]
58.89157485961914['note_off', 84, 100, 58.88622194358302, 'accompaniment', 45]
58.955244064331055['note_off', 84, 100, 58.949345818862916, 'accompaniment', 45]
59.367300033569336['note_on', 88, 78.32, 59.36620659290597, 'accompaniment', 47]
59.36733794212341['note_off', 86, 100, 59.367206592905966, 'accompaniment', 46]
59.45928907394409['note_off', 86, 100, 59.45274399887085, 'accompaniment', 46]
59.93982481956482['note_on', 89, 79.75999999999999, 59.93070327974418, 'accompaniment', 48]
59.946141958236694['note_off', 88, 100, 59.93170327974418, 'accompaniment', 47]
63.494929790496826['note_on', 89, 84.08, 63.48522190325845, 'accompaniment', 49]
64.05650091171265['note_on', 91, 84.08, 64.03120969478253, 'accompaniment', 50]
64.05655813217163['note_off', 89, 100, 64.03220969478254, 'accompaniment', 49]
64.5793068408966['note_on', 93, 84.08, 64.5771974863066, 'accompaniment', 51]
64.59143710136414['note_off', 91, 100, 64.5781974863066, 'accompaniment', 50]
72.5202989578247['note_off', 89, 100, 72.51753148196603, 'accompaniment', 49]
72.6847038269043['note_off', 91, 100, 72.68470334309815, 'accompaniment', 50]
72.90888118743896['note_on', 95, 81.44, 72.90888026034291, 'accompaniment', 52]
72.90988111495972['note_off', 93, 100, 72.90988026034292, 'accompaniment', 51]
73.31126689910889['note_on', 93, 86.0, 73.30018584707094, 'accompaniment', 53]
73.31132483482361['note_off', 95, 100, 73.30118584707094, 'accompaniment', 52]
73.46629190444946['note_on', 91, 86.0, 73.46629187636553, 'accompaniment', 54]
73.46729278564453['note_off', 93, 100, 73.46729187636554, 'accompaniment', 53]
74.11545181274414['note_off', 95, 100, 74.11352109085084, 'accompaniment', 52]
74.11549091339111['note_off', 93, 100, 74.11352109085084, 'accompaniment', 53]
74.9029381275177['note_off', 95, 100, 74.88863942779733, 'accompaniment', 52]
75.03815698623657['note_off', 93, 100, 75.03815685546508, 'accompaniment', 53]
75.39037108421326['note_on', 86, 79.52, 75.3771413783481, 'accompaniment', 55]
75.40297102928162['note_off', 91, 100, 75.3781413783481, 'accompaniment', 54]
75.84269595146179['note_on', 88, 80.0, 75.84269531719353, 'accompaniment', 56]
75.84369611740112['note_off', 86, 100, 75.84369531719354, 'accompaniment', 55]
76.10780000686646['note_off', 86, 100, 76.09948896537782, 'accompaniment', 55]
77.82860207557678['note_on', 88, 80.47999999999999, 77.82374802377392, 'accompaniment', 57]
78.05165100097656['note_on', 91, 82.4, 78.05165022984475, 'accompaniment', 58]
78.06344485282898['note_off', 88, 100, 78.05265022984476, 'accompaniment', 57]
79.01667499542236['note_on', 88, 69.19999999999999, 79.0085764721662, 'accompaniment', 59]
79.02297377586365['note_off', 91, 100, 79.0095764721662, 'accompaniment', 58]
79.20021295547485['note_off', 91, 100, 79.19282197128297, 'accompaniment', 58]
80.07856512069702['note_on', 88, 75.68, 80.07725729617445, 'accompaniment', 60]
80.24407601356506['note_on', 93, 75.68, 80.23504096234852, 'accompaniment', 61]
80.26228284835815['note_off', 88, 100, 80.23604096234853, 'accompaniment', 60]
84.76793003082275['note_off', 88, 100, 84.76499708549753, 'accompaniment', 60]
85.10809803009033['note_off', 88, 100, 85.09501098762513, 'accompaniment', 60]
86.8730878829956['note_on', 81, 76.4, 86.87308725991033, 'accompaniment', 62]
86.87408781051636['note_off', 93, 100, 86.87408725991034, 'accompaniment', 61]
88.41512703895569['note_on', 93, 76.4, 88.41013808691773, 'accompaniment', 63]
88.43405103683472['note_off', 81, 100, 88.41113808691773, 'accompaniment', 62]
95.55908203125['note_off', 93, 100, 95.53210782180787, 'accompaniment', 61]
99.27553200721741['note_off', 81, 100, 99.27553129257569, 'accompaniment', 62]
99.39137601852417['note_on', 93, 82.4, 99.3913754591825, 'accompaniment', 64]
100.56166911125183['note_on', 84, 85.28, 100.56166903053284, 'accompaniment', 65]
100.56266903877258['note_off', 93, 100, 100.56266903053285, 'accompaniment', 64]
101.77048015594482['note_off', 93, 100, 101.76384916997729, 'accompaniment', 64]
102.50486087799072['note_on', 93, 83.12, 102.4972691254592, 'accompaniment', 66]
102.51745796203613['note_off', 84, 100, 102.4982691254592, 'accompaniment', 65]
102.65133905410767['note_on', 96, 77.6, 102.6404302185409, 'accompaniment', 67]
102.65142393112183['note_off', 93, 100, 102.6414302185409, 'accompaniment', 66]
102.65779089927673['note_off', 84, 100, 102.65181779037476, 'accompaniment', 65]
102.8449878692627['note_off', 93, 100, 102.8372330583191, 'accompaniment', 66]
103.90948987007141['note_on', 87, 72.08, 103.89624147470549, 'accompaniment', 68]
103.92103004455566['note_off', 96, 100, 103.8972414747055, 'accompaniment', 67]
104.63361883163452['note_on', 96, 84.55999999999999, 104.61634354401102, 'accompaniment', 69]
104.65032911300659['note_off', 87, 100, 104.61734354401102, 'accompaniment', 68]
104.7425799369812['note_on', 96, 80.0, 104.7425793372241, 'accompaniment', 70]
105.8487799167633['note_on', 86, 89.36, 105.83279257920593, 'accompaniment', 71]
105.8488278388977['note_off', 96, 100, 105.83379257920593, 'accompaniment', 70]
107.07261896133423['note_on', 86, 77.3, 107.06699033420706, 'accompaniment', 72]
108.89187407493591['note_on', 86, 77.9, 108.88572557157093, 'accompaniment', 73]
