
6.192068815231323['note_on', 48, 86.3, 6.182684515115535, 'accompaniment', 0]
6.8929688930511475['note_on', 60, 86.3, 6.887189052375621, 'accompaniment', 1]
6.904269218444824['note_off', 48, 100, 6.888189052375622, 'accompaniment', 0]
6.962878704071045['note_off', 48, 100, 6.957449904785157, 'accompaniment', 0]
7.563283920288086['note_on', 64, 86.3, 7.562604899811623, 'accompaniment', 2]
7.569203615188599['note_off', 60, 100, 7.563604899811623, 'accompaniment', 1]
7.661360025405884['note_off', 60, 100, 7.617313615188599, 'accompaniment', 1]
8.159380197525024['note_on', 60, 86.3, 8.158499398574829, 'accompaniment', 3]
8.176201105117798['note_off', 64, 100, 8.159499398574829, 'accompaniment', 2]
8.693288326263428['note_on', 65, 86.3, 8.692057617044007, 'accompaniment', 4]
8.693288326263428['note_off', 60, 100, 8.693057617044007, 'accompaniment', 3]
8.751543521881104['note_off', 60, 100, 8.747312060699462, 'accompaniment', 3]
9.262046813964844['note_on', 60, 86.3, 9.251603539561406, 'accompaniment', 5]
9.26744818687439['note_off', 65, 100, 9.252603539561406, 'accompaniment', 4]
9.75017523765564['note_off', 65, 100, 9.749218694076538, 'accompaniment', 4]
10.946476936340332['note_on', 64, 86.3, 10.946254223781436, 'accompaniment', 6]
10.947526693344116['note_off', 60, 100, 10.947254223781435, 'accompaniment', 5]
