
17.372180938720703['note_on', 48, 51.2, 17.36697130033611, 'accompaniment', 0]
17.930705070495605['note_on', 60, 55.25, 17.92124787841797, 'accompaniment', 1]
17.937088012695312['note_off', 48, 100, 17.92224787841797, 'accompaniment', 0]
18.373942136764526['note_on', 64, 55.25, 18.370786440520725, 'accompaniment', 2]
18.386488914489746['note_off', 60, 100, 18.371887198791505, 'accompaniment', 1]
18.786850929260254['note_on', 60, 48.5, 18.784380428569527, 'accompaniment', 3]
18.786903142929077['note_off', 64, 100, 18.78538042856953, 'accompaniment', 2]
19.202263832092285['note_on', 65, 38.15, 19.194984098176853, 'accompaniment', 4]
19.20856809616089['note_off', 60, 100, 19.195984098176854, 'accompaniment', 3]
19.51654887199402['note_on', 60, 39.95, 19.51654834802535, 'accompaniment', 5]
19.51754903793335['note_off', 65, 100, 19.51754834802535, 'accompaniment', 4]
19.79603099822998['note_on', 64, 43.1, 19.796030668421864, 'accompaniment', 6]
19.797030925750732['note_off', 60, 100, 19.797030668421865, 'accompaniment', 5]
20.049556970596313['note_on', 60, 46.25, 20.04223751392056, 'accompaniment', 7]
20.06215000152588['note_off', 64, 100, 20.043237513920563, 'accompaniment', 6]
20.279927015304565['note_on', 62, 45.800000000000004, 20.27992693458557, 'accompaniment', 8]
20.292600870132446['note_off', 60, 100, 20.280926934585572, 'accompaniment', 7]
20.514968872070312['note_on', 59, 45.800000000000004, 20.507131139213758, 'accompaniment', 9]
20.5212721824646['note_off', 62, 100, 20.50813113921376, 'accompaniment', 8]
20.749085903167725['note_on', 60, 45.35, 20.74066997234561, 'accompaniment', 10]
20.755396842956543['note_off', 59, 100, 20.741669972345612, 'accompaniment', 9]
20.836079835891724['note_off', 59, 100, 20.82736992012024, 'accompaniment', 9]
21.01486110687256['note_on', 57, 43.1, 21.01084084571448, 'accompaniment', 11]
21.021172046661377['note_off', 60, 100, 21.01184084571448, 'accompaniment', 10]
21.10089898109436['note_off', 60, 100, 21.09244584213257, 'accompaniment', 10]
21.291313886642456['note_on', 53, 44.0, 21.28398144530195, 'accompaniment', 12]
21.30376887321472['note_off', 57, 100, 21.284981445301952, 'accompaniment', 11]
21.367318153381348['note_off', 57, 100, 21.35819005142212, 'accompaniment', 11]
21.54724097251892['note_on', 55, 45.800000000000004, 21.547240891799927, 'accompaniment', 13]
21.548240900039673['note_off', 53, 100, 21.548240891799928, 'accompaniment', 12]
21.784929990768433['note_on', 60, 45.800000000000004, 21.776125169748543, 'accompaniment', 14]
21.790074825286865['note_off', 55, 100, 21.777125169748544, 'accompaniment', 13]
21.861876964569092['note_off', 55, 100, 21.85085486541748, 'accompaniment', 13]
