
6.263885021209717['note_on', 48, 45.800000000000004, 6.263462581657918, 'accompaniment', 0]
6.4730236530303955['note_off', 48, 100, 6.470087043151856, 'accompaniment', 0]
6.50761342048645['note_on', 60, 45.800000000000004, 6.4690870431518555, 'accompaniment', 1]
6.585679292678833['note_on', 59, 45.800000000000004, 6.5641726245863525, 'accompaniment', 2]
6.607654571533203['note_off', 60, 100, 6.565172624586353, 'accompaniment', 1]
6.715701341629028['note_on', 60, 45.800000000000004, 6.699794284780518, 'accompaniment', 3]
6.731733083724976['note_off', 59, 100, 6.700794284780518, 'accompaniment', 2]
6.855636358261108['note_on', 62, 45.800000000000004, 6.835415944974684, 'accompaniment', 4]
6.952459812164307['note_off', 60, 100, 6.836415944974684, 'accompaniment', 3]
7.171390056610107['note_on', 60, 45.800000000000004, 7.162598767623901, 'accompaniment', 5]
7.1768798828125['note_off', 60, 100, 7.163598767623902, 'accompaniment', 3]
7.182384490966797['note_off', 62, 100, 7.163598767623902, 'accompaniment', 4]
7.251446008682251['note_on', 59, 45.800000000000004, 7.251394167232727, 'accompaniment', 6]
7.253088474273682['note_off', 60, 100, 7.252394167232727, 'accompaniment', 5]
7.441539525985718['note_on', 60, 45.800000000000004, 7.440676148944442, 'accompaniment', 7]
7.475525140762329['note_off', 59, 100, 7.441676148944443, 'accompaniment', 6]
7.636559009552002['note_on', 52, 45.800000000000004, 7.62995813065616, 'accompaniment', 8]
7.671027660369873['note_off', 60, 100, 7.63095813065616, 'accompaniment', 7]
7.839517116546631['note_off', 60, 100, 7.813086501464844, 'accompaniment', 7]
7.896188020706177['note_on', 60, 45.800000000000004, 7.896062433937964, 'accompaniment', 9]
7.897184610366821['note_off', 52, 100, 7.897062433937965, 'accompaniment', 8]
8.1214017868042['note_on', 59, 45.800000000000004, 8.113327882445908, 'accompaniment', 10]
8.154109239578247['note_off', 60, 100, 8.114327882445908, 'accompaniment', 9]
8.332098007202148['note_on', 60, 45.800000000000004, 8.330593330953853, 'accompaniment', 11]
8.361085653305054['note_off', 59, 100, 8.331593330953853, 'accompaniment', 10]
8.552125215530396['note_on', 62, 45.800000000000004, 8.547858779461796, 'accompaniment', 12]
8.569692611694336['note_off', 60, 100, 8.548858779461796, 'accompaniment', 11]
8.638322591781616['note_off', 60, 100, 8.629335395202636, 'accompaniment', 11]
8.801694631576538['note_on', 60, 45.800000000000004, 8.773723580710726, 'accompaniment', 13]
8.807682275772095['note_off', 62, 100, 8.774723580710726, 'accompaniment', 12]
8.996211290359497['note_on', 59, 45.800000000000004, 8.995827491309766, 'accompaniment', 14]
8.997207880020142['note_off', 60, 100, 8.996827491309766, 'accompaniment', 13]
9.25167465209961['note_on', 60, 45.800000000000004, 9.217931401908805, 'accompaniment', 15]
9.336694955825806['note_off', 59, 100, 9.218931401908804, 'accompaniment', 14]
9.44796347618103['note_on', 53, 45.800000000000004, 9.440035312507845, 'accompaniment', 16]
9.470974922180176['note_off', 60, 100, 9.441035312507845, 'accompaniment', 15]
9.669234037399292['note_on', 60, 45.800000000000004, 9.66144163527679, 'accompaniment', 17]
9.73830246925354['note_off', 53, 100, 9.662441635276789, 'accompaniment', 16]
9.906114101409912['note_on', 59, 45.800000000000004, 9.881788541190764, 'accompaniment', 18]
9.906114101409912['note_off', 60, 100, 9.882788541190763, 'accompaniment', 17]
10.110257625579834['note_on', 60, 45.800000000000004, 10.102135447104738, 'accompaniment', 19]
10.110257625579834['note_off', 59, 100, 10.103135447104737, 'accompaniment', 18]
10.319440126419067['note_on', 62, 45.800000000000004, 10.319363274917603, 'accompaniment', 20]
10.32099461555481['note_off', 60, 100, 10.320363274917602, 'accompaniment', 19]
10.5084707736969['note_on', 60, 45.800000000000004, 10.508414758711819, 'accompaniment', 21]
10.509465217590332['note_off', 62, 100, 10.509414758711818, 'accompaniment', 20]
10.732802629470825['note_on', 59, 45.800000000000004, 10.717285253371731, 'accompaniment', 22]
10.749409914016724['note_off', 60, 100, 10.71828525337173, 'accompaniment', 21]
10.940237760543823['note_on', 60, 45.800000000000004, 10.92615574803164, 'accompaniment', 23]
10.940237760543823['note_off', 59, 100, 10.92715574803164, 'accompaniment', 22]
11.137662172317505['note_on', 48, 45.800000000000004, 11.13502624269155, 'accompaniment', 24]
11.143213987350464['note_off', 60, 100, 11.13602624269155, 'accompaniment', 23]
11.316585540771484['note_on', 60, 45.800000000000004, 11.313331701370439, 'accompaniment', 25]
11.333431005477905['note_off', 48, 100, 11.314331701370438, 'accompaniment', 24]
11.535825729370117['note_on', 59, 45.800000000000004, 11.513250576584985, 'accompaniment', 26]
11.535825729370117['note_off', 60, 100, 11.514250576584985, 'accompaniment', 25]
11.724828243255615['note_on', 60, 45.800000000000004, 11.713169451799534, 'accompaniment', 27]
11.729838132858276['note_off', 59, 100, 11.714169451799533, 'accompaniment', 26]
11.919592380523682['note_on', 62, 45.800000000000004, 11.91308832701408, 'accompaniment', 28]
11.925109624862671['note_off', 60, 100, 11.91408832701408, 'accompaniment', 27]
11.990285634994507['note_off', 60, 100, 11.989468804702758, 'accompaniment', 27]
12.12660264968872['note_on', 60, 45.800000000000004, 12.125208177678049, 'accompaniment', 29]
12.149209022521973['note_off', 62, 100, 12.126208177678048, 'accompaniment', 28]
12.341699123382568['note_on', 59, 45.800000000000004, 12.331378529659382, 'accompaniment', 30]
12.353214979171753['note_off', 60, 100, 12.332378529659382, 'accompaniment', 29]
12.566011905670166['note_on', 60, 45.800000000000004, 12.537548881640713, 'accompaniment', 31]
12.571556091308594['note_off', 59, 100, 12.538548881640713, 'accompaniment', 30]
12.72866678237915['note_on', 45, 45.800000000000004, 12.722202218772255, 'accompaniment', 32]
12.740184307098389['note_off', 60, 100, 12.723202218772254, 'accompaniment', 31]
12.911799907684326['note_on', 57, 45.800000000000004, 12.91161979447296, 'accompaniment', 33]
12.912805557250977['note_off', 45, 100, 12.91261979447296, 'accompaniment', 32]
13.101126194000244['note_on', 56, 45.800000000000004, 13.101037370173664, 'accompaniment', 34]
13.106187343597412['note_off', 57, 100, 13.102037370173663, 'accompaniment', 33]
13.292768239974976['note_on', 57, 45.800000000000004, 13.29045494587437, 'accompaniment', 35]
13.338367462158203['note_off', 56, 100, 13.291454945874369, 'accompaniment', 34]
13.52491044998169['note_on', 47, 45.800000000000004, 13.479872521575073, 'accompaniment', 36]
13.535600423812866['note_off', 57, 100, 13.480872521575073, 'accompaniment', 35]
14.471079111099243['note_off', 57, 100, 14.469875327453613, 'accompaniment', 35]
14.721179962158203['note_on', 59, 45.800000000000004, 14.712387045623604, 'accompaniment', 37]
14.726277589797974['note_off', 47, 100, 14.713387045623604, 'accompaniment', 36]
16.001744747161865['note_on', 48, 45.800000000000004, 15.990467011205823, 'accompaniment', 40]
16.052279472351074['note_off', 59, 100, 15.991467011205822, 'accompaniment', 39]
16.30630588531494['note_on', 60, 45.800000000000004, 16.293762945821836, 'accompaniment', 41]
16.341198444366455['note_off', 48, 100, 16.294762945821837, 'accompaniment', 40]
16.4142804145813['note_off', 59, 100, 16.387635575450737, 'accompaniment', 37]
16.63150691986084['note_on', 59, 45.800000000000004, 16.597058880437846, 'accompaniment', 42]
16.676166772842407['note_off', 60, 100, 16.598058880437847, 'accompaniment', 41]
16.91383957862854['note_on', 60, 45.800000000000004, 16.900354815053863, 'accompaniment', 43]
16.91887378692627['note_off', 59, 100, 16.901354815053864, 'accompaniment', 42]
16.961522817611694['note_on', 45, 45.800000000000004, 16.95549885307312, 'accompaniment', 44]
16.961522817611694['note_off', 60, 100, 16.95649885307312, 'accompaniment', 43]
17.13119411468506['note_on', 57, 45.800000000000004, 17.119563690917104, 'accompaniment', 45]
17.1423180103302['note_off', 45, 100, 17.120563690917106, 'accompaniment', 44]
17.39321279525757['note_on', 56, 45.800000000000004, 17.359412380566805, 'accompaniment', 46]
17.399194955825806['note_off', 57, 100, 17.360412380566807, 'accompaniment', 45]
17.603034019470215['note_on', 57, 45.800000000000004, 17.5992610702165, 'accompaniment', 47]
17.603034019470215['note_off', 56, 100, 17.6002610702165, 'accompaniment', 46]
17.85117793083191['note_on', 41, 45.800000000000004, 17.8391097598662, 'accompaniment', 48]
17.85117793083191['note_off', 57, 100, 17.840109759866202, 'accompaniment', 47]
17.98651885986328['note_off', 57, 100, 17.967399588928224, 'accompaniment', 47]
18.065139532089233['note_off', 58, 100, 18.06188410527786, 'accompaniment', 38]
18.193506479263306['note_on', 53, 45.800000000000004, 18.16542907303523, 'accompaniment', 49]
18.266053915023804['note_off', 41, 100, 18.166429073035232, 'accompaniment', 48]
18.509116649627686['note_on', 52, 45.800000000000004, 18.428525864087003, 'accompaniment', 50]
18.564642667770386['note_off', 53, 100, 18.429525864087005, 'accompaniment', 49]
18.693329572677612['note_on', 53, 45.800000000000004, 18.69162265513878, 'accompaniment', 51]
18.699316024780273['note_off', 52, 100, 18.69262265513878, 'accompaniment', 50]
18.976276397705078['note_on', 43, 45.800000000000004, 18.954719446190555, 'accompaniment', 52]
18.981769323349['note_off', 53, 100, 18.955719446190557, 'accompaniment', 51]
19.10127305984497['note_off', 53, 100, 19.09810852180481, 'accompaniment', 51]
19.32663869857788['note_on', 55, 45.800000000000004, 19.29328394949287, 'accompaniment', 53]
19.3322696685791['note_off', 43, 100, 19.294283949492872, 'accompaniment', 52]
19.58969211578369['note_on', 54, 45.800000000000004, 19.58629656918776, 'accompaniment', 54]
19.58969211578369['note_off', 55, 100, 19.58729656918776, 'accompaniment', 53]
19.88015389442444['note_on', 55, 45.800000000000004, 19.879309188882644, 'accompaniment', 55]
19.881154775619507['note_off', 54, 100, 19.880309188882645, 'accompaniment', 54]
20.046738147735596['note_on', 60, 45.800000000000004, 20.045976309467303, 'accompaniment', 56]
20.04773497581482['note_off', 55, 100, 20.046976309467304, 'accompaniment', 55]
20.97443985939026['note_on', 48, 45.800000000000004, 20.973723334263088, 'accompaniment', 57]
21.0079665184021['note_off', 60, 100, 20.97472333426309, 'accompaniment', 56]
21.132265329360962['note_on', 48, 45.800000000000004, 21.1322064832785, 'accompaniment', 58]
21.272322177886963['note_on', 60, 45.800000000000004, 21.242809024922455, 'accompaniment', 59]
21.28979730606079['note_off', 48, 100, 21.243809024922456, 'accompaniment', 58]
21.358393907546997['note_on', 59, 45.800000000000004, 21.35341156656641, 'accompaniment', 60]
21.358393907546997['note_off', 60, 100, 21.354411566566412, 'accompaniment', 59]
21.474913358688354['note_on', 60, 45.800000000000004, 21.464014108210364, 'accompaniment', 61]
21.481404066085815['note_off', 59, 100, 21.465014108210365, 'accompaniment', 60]
21.576536417007446['note_on', 62, 45.800000000000004, 21.57461664985432, 'accompaniment', 62]
21.59356713294983['note_off', 60, 100, 21.57561664985432, 'accompaniment', 61]
22.42152762413025['note_on', 60, 45.800000000000004, 22.412826218948364, 'accompaniment', 63]
22.427013635635376['note_off', 60, 100, 22.413826218948365, 'accompaniment', 61]
22.427013635635376['note_on', 59, 45.800000000000004, 22.412826218948364, 'accompaniment', 64]
22.46631932258606['note_off', 62, 100, 22.413826218948365, 'accompaniment', 62]
22.46631932258606['note_on', 60, 45.800000000000004, 22.454118366786155, 'accompaniment', 65]
22.476823568344116['note_off', 60, 100, 22.413826218948365, 'accompaniment', 63]
22.488345861434937['note_off', 59, 100, 22.455118366786156, 'accompaniment', 64]
