
37.744526386260986['note_on', 31, 45.800000000000004, 37.73965648808361, 'accompaniment2', 31]
37.744526386260986['note_off', 40, 100, 37.74065648808361, 'accompaniment2', 30]
37.941224575042725['note_off', 40, 100, 37.93281149040222, 'accompaniment2', 30]
38.71901226043701['note_on', 38, 45.800000000000004, 38.70443602392641, 'accompaniment2', 32]
38.71901226043701['note_off', 31, 100, 38.70543602392641, 'accompaniment2', 31]
39.52228093147278['note_on', 31, 45.800000000000004, 39.51946649095517, 'accompaniment2', 33]
39.52737092971802['note_off', 38, 100, 39.520466490955165, 'accompaniment2', 32]
39.58736205101013['note_off', 38, 100, 39.58696293006897, 'accompaniment2', 32]
40.3953320980072['note_on', 36, 45.800000000000004, 40.39145580802918, 'accompaniment2', 34]
40.3953320980072['note_off', 31, 100, 40.392455808029176, 'accompaniment2', 33]
41.17496466636658['note_on', 31, 45.800000000000004, 41.174465081473365, 'accompaniment2', 35]
41.18646192550659['note_off', 36, 100, 41.17546508147336, 'accompaniment2', 34]
41.307998180389404['note_off', 36, 100, 41.30790709625244, 'accompaniment2', 34]
41.991204261779785['note_on', 35, 45.800000000000004, 41.98532204900306, 'accompaniment2', 36]
42.00228524208069['note_off', 31, 100, 41.98632204900306, 'accompaniment2', 35]
42.68014335632324['note_on', 31, 45.800000000000004, 42.68002149749978, 'accompaniment2', 37]
42.71321654319763['note_off', 35, 100, 42.68102149749978, 'accompaniment2', 36]
42.80329704284668['note_off', 35, 100, 42.79984401832581, 'accompaniment2', 36]
43.50794053077698['note_on', 40, 45.800000000000004, 43.50298043794405, 'accompaniment2', 38]
43.524954080581665['note_off', 31, 100, 43.50398043794405, 'accompaniment2', 37]
43.61915588378906['note_off', 31, 100, 43.60461591850281, 'accompaniment2', 37]
44.29090452194214['note_on', 31, 45.800000000000004, 44.29048983131409, 'accompaniment2', 39]
44.291937589645386['note_off', 40, 100, 44.29148983131409, 'accompaniment2', 38]
45.01222777366638['note_on', 38, 45.800000000000004, 45.011759677276615, 'accompaniment2', 40]
45.013227462768555['note_off', 31, 100, 45.01275967727661, 'accompaniment2', 39]
45.71358060836792['note_on', 31, 45.800000000000004, 45.69640568830549, 'accompaniment2', 41]
45.71358060836792['note_off', 38, 100, 45.69740568830549, 'accompaniment2', 40]
45.81955027580261['note_off', 38, 100, 45.81934498916626, 'accompaniment2', 40]
46.49916052818298['note_on', 36, 45.800000000000004, 46.498893459636335, 'accompaniment2', 42]
46.50015735626221['note_off', 31, 100, 46.49989345963633, 'accompaniment2', 41]
47.300304651260376['note_off', 31, 100, 47.299342862472535, 'accompaniment2', 41]
48.25131869316101['note_on', 31, 45.800000000000004, 48.25077121376888, 'accompaniment2', 43]
48.25639510154724['note_off', 36, 100, 48.251771213768876, 'accompaniment2', 42]
49.1833119392395['note_on', 35, 45.800000000000004, 49.18012990811856, 'accompaniment2', 44]
49.1833119392395['note_off', 31, 100, 49.18112990811856, 'accompaniment2', 43]
49.56479334831238['note_off', 31, 100, 49.564299336776735, 'accompaniment2', 43]
50.48664164543152['note_on', 31, 45.800000000000004, 50.482278766367315, 'accompaniment2', 45]
50.52635312080383['note_off', 35, 100, 50.48327876636731, 'accompaniment2', 44]
51.482024908065796['note_on', 24, 45.800000000000004, 51.481636147236465, 'accompaniment2', 46]
51.483022928237915['note_off', 31, 100, 51.48263614723646, 'accompaniment2', 45]
51.57130813598633['note_off', 31, 100, 51.565723887786866, 'accompaniment2', 45]
52.4253511428833['note_on', 36, 45.800000000000004, 52.42014169985746, 'accompaniment2', 47]
52.43088150024414['note_off', 24, 100, 52.42114169985746, 'accompaniment2', 46]
53.26276707649231['note_on', 40, 45.800000000000004, 53.26181332145691, 'accompaniment2', 48]
53.268747329711914['note_off', 36, 100, 53.26281332145691, 'accompaniment2', 47]
54.0489706993103['note_on', 36, 45.800000000000004, 54.046213817657375, 'accompaniment2', 49]
54.0489706993103['note_off', 40, 100, 54.04721381765737, 'accompaniment2', 48]
54.841625928878784['note_on', 41, 45.800000000000004, 54.81561547734365, 'accompaniment2', 50]
54.841625928878784['note_off', 36, 100, 54.816615477343646, 'accompaniment2', 49]
55.61458086967468['note_on', 36, 45.800000000000004, 55.60769926631306, 'accompaniment2', 51]
55.621060848236084['note_off', 41, 100, 55.60869926631306, 'accompaniment2', 50]
55.74031901359558['note_off', 41, 100, 55.74021743904114, 'accompaniment2', 50]
56.52934455871582['note_on', 40, 45.800000000000004, 56.528873601303104, 'accompaniment2', 52]
56.5303418636322['note_off', 36, 100, 56.5298736013031, 'accompaniment2', 51]
57.32916331291199['note_on', 36, 45.800000000000004, 57.32831125861236, 'accompaniment2', 53]
57.34119486808777['note_off', 40, 100, 57.32931125861236, 'accompaniment2', 52]
57.42643094062805['note_off', 40, 100, 57.417316190109254, 'accompaniment2', 52]
58.23023343086243['note_on', 38, 45.800000000000004, 58.222744751997624, 'accompaniment2', 54]
58.23564028739929['note_off', 36, 100, 58.22374475199762, 'accompaniment2', 53]
58.46946310997009['note_off', 36, 100, 58.4692149079895, 'accompaniment2', 53]
59.361191272735596['note_on', 35, 45.800000000000004, 59.35633941885488, 'accompaniment2', 55]
59.40533971786499['note_off', 38, 100, 59.35733941885488, 'accompaniment2', 54]
60.14420247077942['note_on', 36, 45.800000000000004, 60.12960750023757, 'accompaniment2', 56]
60.1557993888855['note_off', 35, 100, 60.130607500237566, 'accompaniment2', 55]
60.846588373184204['note_on', 33, 45.800000000000004, 60.84597597207672, 'accompaniment2', 57]
60.86363434791565['note_off', 36, 100, 60.84697597207672, 'accompaniment2', 56]
60.955546617507935['note_off', 36, 100, 60.95178317199707, 'accompaniment2', 56]
61.649953842163086['note_on', 29, 45.800000000000004, 61.64903990876781, 'accompaniment2', 58]
61.66596269607544['note_off', 33, 100, 61.65003990876781, 'accompaniment2', 57]
62.358601093292236['note_on', 31, 45.800000000000004, 62.34556147050705, 'accompaniment2', 59]
62.3701286315918['note_off', 29, 100, 62.34656147050705, 'accompaniment2', 58]
62.53330755233765['note_off', 29, 100, 62.5246405519104, 'accompaniment2', 58]
63.21950316429138['note_on', 24, 45.800000000000004, 63.21855346237183, 'accompaniment2', 60]
63.22100567817688['note_off', 31, 100, 63.21955346237183, 'accompaniment2', 59]
