
15.233837127685547['note_on', 48, 33.2, 15.216170775025697, 'accompaniment', 0]
15.814239025115967['note_on', 60, 33.2, 15.814238937301269, 'accompaniment', 1]
15.82078504562378['note_off', 48, 100, 15.815238937301269, 'accompaniment', 0]
15.88867998123169['note_off', 48, 100, 15.88780497680664, 'accompaniment', 0]
16.420487880706787['note_on', 64, 39.5, 16.420394101486206, 'accompaniment', 2]
16.442633867263794['note_off', 60, 100, 16.421394101486207, 'accompaniment', 1]
16.934096097946167['note_on', 60, 39.5, 16.934095825688782, 'accompaniment', 3]
16.94497513771057['note_off', 64, 100, 16.935095825688784, 'accompaniment', 2]
17.006422996520996['note_off', 64, 100, 16.999967805252076, 'accompaniment', 2]
17.527971982955933['note_on', 65, 37.7, 17.513294998154304, 'accompaniment', 4]
17.54055118560791['note_off', 60, 100, 17.514294998154305, 'accompaniment', 3]
17.631280183792114['note_off', 60, 100, 17.620021096572877, 'accompaniment', 3]
18.185670137405396['note_on', 60, 37.7, 18.184994483628873, 'accompaniment', 5]
18.198283910751343['note_off', 65, 100, 18.185994483628875, 'accompaniment', 4]
18.296930074691772['note_off', 65, 100, 18.295420161590577, 'accompaniment', 4]
18.929290056228638['note_on', 64, 39.5, 18.929286181899737, 'accompaniment', 6]
18.935601949691772['note_off', 60, 100, 18.93028618189974, 'accompaniment', 5]
19.001360177993774['note_off', 60, 100, 19.00135993133545, 'accompaniment', 5]
19.72432518005371['note_on', 60, 32.300000000000004, 19.67599267152084, 'accompaniment', 7]
19.736911058425903['note_off', 64, 100, 19.676992671520843, 'accompaniment', 6]
19.868199110031128['note_off', 64, 100, 19.86630486618042, 'accompaniment', 6]
20.69996690750122['note_on', 62, 26.9, 20.69788028999667, 'accompaniment', 8]
20.700008869171143['note_off', 60, 100, 20.698880289996673, 'accompaniment', 7]
20.91625690460205['note_off', 60, 100, 20.88260697494507, 'accompaniment', 7]
21.710453033447266['note_on', 59, 32.75, 21.684102931365967, 'accompaniment', 9]
21.72302508354187['note_off', 62, 100, 21.685102931365968, 'accompaniment', 8]
22.4352970123291['note_on', 60, 32.75, 22.43529615794531, 'accompaniment', 10]
22.436296939849854['note_off', 59, 100, 22.43629615794531, 'accompaniment', 9]
22.577511072158813['note_off', 59, 100, 22.57751106391907, 'accompaniment', 9]
