
68.3519229888916['note_off', 89, 100, 68.35192202697755, 'accompaniment', 32]
68.71670079231262['note_on', 93, 105.44, 68.71669985123017, 'accompaniment', 34]
68.73562788963318['note_off', 91, 100, 68.71769985123018, 'accompaniment', 33]
70.19013094902039['note_on', 81, 94.88, 70.19013047014971, 'accompaniment', 35]
70.19113111495972['note_off', 93, 100, 70.19113047014972, 'accompaniment', 34]
70.3751699924469['note_on', 81, 94.39999999999999, 70.3751693558868, 'accompaniment', 36]
72.41618609428406['note_on', 86, 86.89999999999999, 72.41183551408146, 'accompaniment', 37]
72.42877888679504['note_off', 81, 100, 72.41283551408146, 'accompaniment', 36]
74.79579901695251['note_on', 86, 62.3, 74.78422915441242, 'accompaniment', 38]
75.25538086891174['note_on', 88, 65.35999999999999, 75.25538018918282, 'accompaniment', 39]
75.2563807964325['note_off', 86, 100, 75.25638018918282, 'accompaniment', 38]
75.33579111099243['note_off', 86, 100, 75.33355092178346, 'accompaniment', 38]
75.72900986671448['note_on', 89, 64.64, 75.72592141267917, 'accompaniment', 40]
75.7476909160614['note_off', 88, 100, 75.72692141267918, 'accompaniment', 39]
76.23411512374878['note_on', 91, 64.16, 76.22845767096885, 'accompaniment', 41]
76.23919892311096['note_off', 89, 100, 76.22945767096886, 'accompaniment', 40]
77.89485383033752['note_on', 79, 61.52, 77.88967940530955, 'accompaniment', 42]
77.9008538722992['note_off', 91, 100, 77.89067940530956, 'accompaniment', 41]
78.09710192680359['note_on', 79, 62.24, 78.09710163611035, 'accompaniment', 43]
79.61767387390137['note_on', 84, 71.3, 79.61640381830337, 'accompaniment', 44]
79.61771392822266['note_off', 79, 100, 79.61740381830337, 'accompaniment', 43]
79.72187995910645['note_off', 79, 100, 79.70269393096925, 'accompaniment', 43]
81.43489408493042['note_on', 84, 77.6, 81.42961190343412, 'accompaniment', 45]
81.75748300552368['note_on', 86, 78.56, 81.75571856410488, 'accompaniment', 46]
81.77006196975708['note_off', 84, 100, 81.75671856410489, 'accompaniment', 45]
82.09443187713623['note_on', 88, 79.28, 82.08802291786141, 'accompaniment', 47]
82.10701990127563['note_off', 86, 100, 82.08902291786141, 'accompaniment', 46]
82.4496099948883['note_on', 89, 79.52, 82.44688663853822, 'accompaniment', 48]
82.46223211288452['note_off', 88, 100, 82.44788663853822, 'accompaniment', 47]
82.5605309009552['note_off', 88, 100, 82.54803489814759, 'accompaniment', 47]
84.21377515792847['note_on', 89, 85.75999999999999, 84.20286168715434, 'accompaniment', 49]
84.57370591163635['note_on', 91, 86.0, 84.55227738090679, 'accompaniment', 50]
84.58636498451233['note_off', 89, 100, 84.55327738090679, 'accompaniment', 49]
84.91815900802612['note_on', 93, 90.08, 84.91815891371775, 'accompaniment', 51]
84.92991590499878['note_off', 91, 100, 84.91915891371775, 'accompaniment', 50]
85.11108803749084['note_off', 91, 100, 85.10934590469361, 'accompaniment', 50]
85.47660303115845['note_on', 95, 91.75999999999999, 85.47660256357285, 'accompaniment', 52]
85.4776029586792['note_off', 93, 100, 85.47760256357286, 'accompaniment', 51]
85.54488897323608['note_off', 93, 100, 85.53101991783143, 'accompaniment', 51]
86.68597793579102['note_on', 93, 78.8, 86.68288885739524, 'accompaniment', 53]
86.68602395057678['note_off', 95, 100, 86.68388885739525, 'accompaniment', 52]
86.76764702796936['note_off', 95, 100, 86.76553582321168, 'accompaniment', 52]
87.06517601013184['note_on', 91, 86.47999999999999, 87.0645480776143, 'accompaniment', 54]
87.07051277160645['note_off', 93, 100, 87.06554807761431, 'accompaniment', 53]
87.70064401626587['note_on', 86, 87.67999999999999, 87.70064321617352, 'accompaniment', 55]
87.70164394378662['note_off', 91, 100, 87.70164321617352, 'accompaniment', 54]
87.76972889900208['note_off', 91, 100, 87.76134585510255, 'accompaniment', 54]
88.3703510761261['note_on', 88, 86.0, 88.35701209937406, 'accompaniment', 56]
88.38294696807861['note_off', 86, 100, 88.35801209937406, 'accompaniment', 55]
90.82428216934204['note_on', 88, 75.92, 90.81834160748846, 'accompaniment', 57]
91.23889303207397['note_on', 91, 74.96, 91.23889279101077, 'accompaniment', 58]
91.23989295959473['note_off', 88, 100, 91.23989279101077, 'accompaniment', 57]
91.31217694282532['note_off', 88, 100, 91.31217693458558, 'accompaniment', 57]
93.20145678520203['note_on', 88, 73.03999999999999, 93.18931690727234, 'accompaniment', 59]
93.21408796310425['note_off', 91, 100, 93.19031690727235, 'accompaniment', 58]
94.56161999702454['note_on', 88, 79.03999999999999, 94.56161917915432, 'accompaniment', 60]
94.82205200195312['note_on', 93, 81.8, 94.82087195838122, 'accompaniment', 61]
94.82210206985474['note_off', 88, 100, 94.82187195838122, 'accompaniment', 60]
94.9701178073883['note_off', 88, 100, 94.96332883010865, 'accompaniment', 60]
96.86183595657349['note_on', 81, 96.32, 96.85962139911857, 'accompaniment', 62]
96.86189889907837['note_off', 93, 100, 96.86062139911857, 'accompaniment', 61]
96.95390105247498['note_off', 93, 100, 96.95390080581666, 'accompaniment', 61]
98.86022591590881['note_on', 93, 101.6, 98.85621882342865, 'accompaniment', 63]
98.87182211875916['note_off', 81, 100, 98.85721882342865, 'accompaniment', 62]
98.96433401107788['note_off', 81, 100, 98.96129798065186, 'accompaniment', 62]
99.21446299552917['note_on', 93, 100.39999999999999, 99.20719696207902, 'accompaniment', 64]
101.30433106422424['note_on', 84, 86.72, 101.29670176180754, 'accompaniment', 65]
101.31691694259644['note_off', 93, 100, 101.29770176180755, 'accompaniment', 64]
103.05830502510071['note_on', 93, 69.19999999999999, 103.05497374272808, 'accompaniment', 66]
103.08347272872925['note_off', 84, 100, 103.05597374272809, 'accompaniment', 65]
103.30075907707214['note_on', 96, 70.16, 103.30075814762652, 'accompaniment', 67]
103.3017590045929['note_off', 93, 100, 103.30175814762653, 'accompaniment', 66]
103.51842594146729['note_off', 93, 100, 103.51651071678162, 'accompaniment', 66]
106.51933002471924['note_on', 87, 70.64, 106.51932955021641, 'accompaniment', 68]
106.52032995223999['note_off', 96, 100, 106.52032955021642, 'accompaniment', 67]
131.19439578056335['note_off', 96, 100, 131.19439577613198, 'accompaniment', 67]
132.50618696212769['note_on', 96, 75.92, 132.48815165098793, 'accompaniment', 69]
132.51881790161133['note_off', 87, 100, 132.48915165098794, 'accompaniment', 68]
132.65076184272766['note_on', 96, 80.24000000000001, 132.65076104675293, 'accompaniment', 70]
134.0278639793396['note_on', 86, 79.52, 134.02786326473935, 'accompaniment', 71]
134.02886390686035['note_off', 96, 100, 134.02886326473936, 'accompaniment', 70]
135.32139492034912['note_on', 86, 94.1, 135.32139432267405, 'accompaniment', 72]
137.30170106887817['note_on', 86, 99.2, 137.3017008122003, 'accompaniment', 73]
137.7259168624878['note_on', 84, 98.71999999999998, 137.72061246381773, 'accompaniment', 74]
137.7365071773529['note_off', 86, 100, 137.72161246381773, 'accompaniment', 73]
138.09525394439697['note_on', 83, 102.8, 138.09525381242872, 'accompaniment', 75]
138.09625387191772['note_off', 84, 100, 138.09625381242873, 'accompaniment', 74]
138.14966797828674['note_off', 84, 100, 138.149667970047, 'accompaniment', 74]
138.50940203666687['note_on', 91, 91.28, 138.504833412134, 'accompaniment', 76]
138.5094609260559['note_off', 83, 100, 138.505833412134, 'accompaniment', 75]
139.88026189804077['note_on', 88, 83.6, 139.87566096555292, 'accompaniment', 77]
139.89292001724243['note_off', 91, 100, 139.87666096555293, 'accompaniment', 76]
140.09818482398987['note_on', 84, 83.6, 140.08604961116689, 'accompaniment', 78]
140.09825682640076['note_off', 88, 100, 140.0870496111669, 'accompaniment', 77]
141.58602213859558['note_on', 89, 83.35999999999999, 141.55644827187658, 'accompaniment', 79]
141.59863185882568['note_off', 84, 100, 141.55744827187658, 'accompaniment', 78]
143.80601382255554['note_on', 89, 103.39999999999999, 143.80214226208525, 'accompaniment', 80]
144.28808999061584['note_on', 88, 101.36, 144.28808998750262, 'accompaniment', 81]
