
12.747537851333618['note_on', 48, 51.2, 12.74260093855439, 'accompaniment', 0]
13.399523735046387['note_on', 60, 50.75, 13.39483777557373, 'accompaniment', 1]
13.405812978744507['note_off', 48, 100, 13.39583777557373, 'accompaniment', 0]
13.899580717086792['note_on', 64, 50.75, 13.899580525910412, 'accompaniment', 2]
13.912194013595581['note_off', 60, 100, 13.900580525910412, 'accompaniment', 1]
14.43503475189209['note_on', 60, 54.35000000000001, 14.435034406049379, 'accompaniment', 3]
14.447645902633667['note_off', 64, 100, 14.436034406049378, 'accompaniment', 2]
14.980788946151733['note_on', 65, 55.7, 14.955192365052534, 'accompaniment', 4]
14.993363857269287['note_off', 60, 100, 14.956192365052534, 'accompaniment', 3]
15.471161842346191['note_on', 60, 60.2, 15.471161695862081, 'accompaniment', 5]
15.482539892196655['note_off', 65, 100, 15.47216169586208, 'accompaniment', 4]
15.996272802352905['note_on', 64, 65.15, 15.9962727668657, 'accompaniment', 6]
15.997273683547974['note_off', 60, 100, 15.997272766865699, 'accompaniment', 5]
16.479904890060425['note_on', 60, 58.85000000000001, 16.47482617838192, 'accompaniment', 7]
16.479978799819946['note_off', 64, 100, 16.475826178381922, 'accompaniment', 6]
16.54065203666687['note_off', 64, 100, 16.540651790008546, 'accompaniment', 6]
17.004223823547363['note_on', 62, 54.35000000000001, 17.004223468504083, 'accompaniment', 8]
17.005223751068115['note_off', 60, 100, 17.005223468504084, 'accompaniment', 7]
17.50470280647278['note_on', 59, 55.25, 17.50343878987299, 'accompaniment', 9]
17.523550987243652['note_off', 62, 100, 17.504438789872992, 'accompaniment', 8]
18.021207809448242['note_on', 60, 57.95, 18.013029409032626, 'accompaniment', 10]
18.0400869846344['note_off', 59, 100, 18.014029409032627, 'accompaniment', 9]
18.539094924926758['note_on', 57, 60.650000000000006, 18.536188900263497, 'accompaniment', 11]
18.55166482925415['note_off', 60, 100, 18.537188900263498, 'accompaniment', 10]
19.032911777496338['note_on', 53, 60.650000000000006, 19.02923624579508, 'accompaniment', 12]
19.033004999160767['note_off', 57, 100, 19.03023624579508, 'accompaniment', 11]
19.110758781433105['note_off', 57, 100, 19.10558675895691, 'accompaniment', 11]
19.57845664024353['note_on', 55, 50.75, 19.569345870361328, 'accompaniment', 13]
19.591015815734863['note_off', 53, 100, 19.57034587036133, 'accompaniment', 12]
20.03748083114624['note_on', 60, 50.75, 20.01703344814353, 'accompaniment', 14]
20.056363821029663['note_off', 55, 100, 20.01803344814353, 'accompaniment', 13]
20.110722064971924['note_off', 55, 100, 20.1107218183136, 'accompaniment', 13]
21.222686767578125['note_on', 48, 61.10000000000001, 21.213551917419434, 'accompaniment', 15]
21.22273588180542['note_off', 60, 100, 21.214551917419435, 'accompaniment', 14]
