
24.73528790473938['note_on', 88, 81.19999999999999, 24.735287824020386, 'accompaniment', 0]
28.143457889556885['note_on', 89, 118.16, 28.141268111676396, 'accompaniment', 1]
28.14352011680603['note_off', 88, 100, 28.142268111676398, 'accompaniment', 0]
28.237656831741333['note_off', 88, 100, 28.23765610824585, 'accompaniment', 0]
31.115545988082886['note_on', 89, 98.48, 31.109015904585007, 'accompaniment', 2]
31.5600688457489['note_on', 91, 99.2, 31.55549263456804, 'accompaniment', 3]
31.571533918380737['note_off', 89, 100, 31.55649263456804, 'accompaniment', 2]
31.67545771598816['note_off', 89, 100, 31.651096097335817, 'accompaniment', 2]
34.17216992378235['note_on', 86, 85.04, 34.168295497281726, 'accompaniment', 4]
34.19708800315857['note_off', 91, 100, 34.16929549728172, 'accompaniment', 3]
35.01968789100647['note_on', 88, 85.04, 35.01968768307131, 'accompaniment', 5]
35.02068781852722['note_off', 86, 100, 35.02068768307131, 'accompaniment', 4]
35.12467885017395['note_off', 86, 100, 35.124678841934205, 'accompaniment', 4]
38.63182091712952['note_on', 93, 89.36, 38.61078991943432, 'accompaniment', 6]
38.63188314437866['note_off', 88, 100, 38.611789919434315, 'accompaniment', 5]
38.74833393096924['note_off', 88, 100, 38.74833296905518, 'accompaniment', 5]
41.09677600860596['note_on', 81, 99.91999999999999, 41.09222184029229, 'accompaniment', 7]
41.096826791763306['note_off', 93, 100, 41.09322184029229, 'accompaniment', 6]
41.60959792137146['note_on', 83, 94.88, 41.59328529509251, 'accompaniment', 8]
41.6278510093689['note_off', 81, 100, 41.594285295092504, 'accompaniment', 7]
42.08863687515259['note_on', 84, 94.88, 42.07915523912058, 'accompaniment', 9]
42.101266860961914['note_off', 83, 100, 42.08015523912058, 'accompaniment', 8]
42.19964075088501['note_off', 83, 100, 42.19964002738953, 'accompaniment', 8]
42.62526893615723['note_on', 86, 97.04, 42.620527557312656, 'accompaniment', 10]
42.63689994812012['note_off', 84, 100, 42.62152755731265, 'accompaniment', 9]
43.96854782104492['note_on', 88, 85.28, 43.968546919140394, 'accompaniment', 11]
43.97202205657959['note_off', 86, 100, 43.96954691914039, 'accompaniment', 10]
44.33982586860657['note_on', 86, 89.6, 44.33982531396607, 'accompaniment', 12]
44.34505295753479['note_off', 88, 100, 44.340825313966064, 'accompaniment', 11]
44.57162404060364['note_off', 88, 100, 44.56703304420471, 'accompaniment', 11]
46.07726502418518['note_on', 91, 96.08, 46.077264115006, 'accompaniment', 13]
46.07826495170593['note_off', 86, 100, 46.078264115006, 'accompaniment', 12]
46.1866340637207['note_off', 86, 100, 46.17440199028015, 'accompaniment', 12]
48.03428792953491['note_on', 79, 108.8, 48.02699899833574, 'accompaniment', 14]
48.05321288108826['note_off', 91, 100, 48.02799899833574, 'accompaniment', 13]
48.36875891685486['note_on', 81, 106.64, 48.35231732919119, 'accompaniment', 15]
48.38085675239563['note_off', 79, 100, 48.353317329191185, 'accompaniment', 14]
48.76015496253967['note_on', 83, 111.8, 48.76015490285722, 'accompaniment', 16]
48.78368377685547['note_off', 81, 100, 48.761154902857214, 'accompaniment', 15]
49.1361768245697['note_on', 84, 115.39999999999999, 49.13617613648922, 'accompaniment', 17]
49.137176752090454['note_off', 83, 100, 49.13717613648922, 'accompaniment', 16]
49.21171593666077['note_off', 83, 100, 49.203294984207155, 'accompaniment', 16]
50.257760763168335['note_on', 86, 97.75999999999999, 50.25351334634773, 'accompaniment', 18]
50.25783395767212['note_off', 84, 100, 50.25451334634773, 'accompaniment', 17]
50.32026195526123['note_off', 84, 100, 50.31856202255249, 'accompaniment', 17]
50.636171102523804['note_on', 84, 98.0, 50.63580213658507, 'accompaniment', 19]
50.646726846694946['note_off', 86, 100, 50.63680213658507, 'accompaniment', 18]
52.20432186126709['note_on', 96, 93.44, 52.19883325209378, 'accompaniment', 20]
52.22072887420654['note_off', 84, 100, 52.199833252093775, 'accompaniment', 19]
52.32727289199829['note_off', 84, 100, 52.32002400527954, 'accompaniment', 19]
54.58628296852112['note_on', 84, 93.44, 54.55743484053133, 'accompaniment', 21]
54.59229898452759['note_off', 96, 100, 54.558434840531326, 'accompaniment', 20]
55.00025510787964['note_on', 86, 95.12, 54.990076470664256, 'accompaniment', 22]
55.01755094528198['note_off', 84, 100, 54.991076470664254, 'accompaniment', 21]
55.084125995635986['note_off', 84, 100, 55.07800196777344, 'accompaniment', 21]
55.51676082611084['note_on', 88, 98.6, 55.50908669679582, 'accompaniment', 23]
55.52934002876282['note_off', 86, 100, 55.51008669679582, 'accompaniment', 22]
55.97441792488098['note_on', 90, 102.8, 55.97441763571026, 'accompaniment', 24]
55.97541785240173['note_off', 88, 100, 55.97541763571026, 'accompaniment', 23]
56.035197019577026['note_off', 88, 100, 56.0351967729187, 'accompaniment', 23]
57.33189582824707['note_on', 88, 90.55999999999999, 57.32479931127283, 'accompaniment', 25]
57.34454083442688['note_off', 90, 100, 57.325799311272824, 'accompaniment', 24]
57.751513957977295['note_on', 86, 93.8, 57.75151309834727, 'accompaniment', 26]
57.760334968566895['note_off', 88, 100, 57.752513098347265, 'accompaniment', 25]
57.82575583457947['note_off', 88, 100, 57.82003997932434, 'accompaniment', 25]
58.584537982940674['note_on', 81, 101.11999999999999, 58.584537078001176, 'accompaniment', 27]
58.585537910461426['note_off', 86, 100, 58.585537078001174, 'accompaniment', 26]
58.64593172073364['note_off', 86, 100, 58.6456179536438, 'accompaniment', 26]
59.431641817092896['note_on', 83, 104.96, 59.426800540315696, 'accompaniment', 28]
59.43169188499451['note_off', 81, 100, 59.427800540315694, 'accompaniment', 27]
61.8948278427124['note_on', 86, 82.88, 61.89482730401681, 'accompaniment', 29]
61.89582800865173['note_off', 83, 100, 61.895827304016805, 'accompaniment', 28]
61.95539903640747['note_off', 83, 100, 61.95539878974915, 'accompaniment', 28]
62.84885573387146['note_on', 88, 83.6, 62.84287750270847, 'accompaniment', 30]
62.87355399131775['note_off', 86, 100, 62.843877502708466, 'accompaniment', 29]
64.97013092041016['note_on', 88, 104.0, 64.96601576492384, 'accompaniment', 31]
65.34178900718689['note_on', 89, 109.04, 65.34178782979929, 'accompaniment', 32]
65.34278893470764['note_off', 88, 100, 65.34278782979929, 'accompaniment', 31]
65.44126892089844['note_off', 88, 100, 65.43955778251649, 'accompaniment', 31]
65.83914184570312['note_on', 91, 116.48, 65.82925876189465, 'accompaniment', 33]
65.83919191360474['note_off', 89, 100, 65.83025876189465, 'accompaniment', 32]
66.2455837726593['note_on', 93, 116.24, 66.2436954673456, 'accompaniment', 34]
66.25818991661072['note_off', 91, 100, 66.24469546734561, 'accompaniment', 33]
67.83723402023315['note_on', 81, 105.91999999999999, 67.83723372274079, 'accompaniment', 35]
67.8382339477539['note_off', 93, 100, 67.8382337227408, 'accompaniment', 34]
68.01995706558228['note_on', 81, 115.52, 68.01995598514561, 'accompaniment', 36]
69.72285914421082['note_on', 86, 96.5, 69.71106902253203, 'accompaniment', 37]
69.73541307449341['note_off', 81, 100, 69.71206902253203, 'accompaniment', 36]
71.79942488670349['note_on', 86, 89.0, 71.79439852910863, 'accompaniment', 38]
72.22034788131714['note_on', 88, 89.36, 72.20983923742732, 'accompaniment', 39]
72.22040677070618['note_off', 86, 100, 72.21083923742732, 'accompaniment', 38]
72.29386782646179['note_off', 86, 100, 72.28747796188355, 'accompaniment', 38]
72.67760181427002['note_on', 89, 86.96, 72.66710615238462, 'accompaniment', 40]
72.68293309211731['note_off', 88, 100, 72.66810615238462, 'accompaniment', 39]
72.76944375038147['note_off', 88, 100, 72.76208590637208, 'accompaniment', 39]
73.1495668888092['note_on', 91, 86.96, 73.14217131293447, 'accompaniment', 41]
73.16183495521545['note_off', 89, 100, 73.14317131293447, 'accompaniment', 40]
74.76235604286194['note_on', 79, 85.75999999999999, 74.74967152785514, 'accompaniment', 42]
74.76865887641907['note_off', 91, 100, 74.75067152785515, 'accompaniment', 41]
74.9937949180603['note_on', 79, 85.28, 74.97855607543946, 'accompaniment', 43]
