
45.77670192718506['note_on', 88, 71.12, 45.77174475446534, 'accompaniment', 0]
49.994799852371216['note_on', 89, 75.92, 49.99479918605724, 'accompaniment', 1]
50.0011351108551['note_off', 88, 100, 49.99579918605724, 'accompaniment', 0]
53.61957597732544['note_on', 89, 78.8, 53.61843310432908, 'accompaniment', 2]
54.11439085006714['note_on', 91, 74.96, 54.114389975251754, 'accompaniment', 3]
54.13965201377869['note_off', 89, 100, 54.11538997525175, 'accompaniment', 2]
54.21908092498779['note_off', 89, 100, 54.21907996307373, 'accompaniment', 2]
57.167824029922485['note_on', 86, 74.0, 57.16782330217023, 'accompaniment', 4]
57.16882395744324['note_off', 91, 100, 57.168823302170225, 'accompaniment', 3]
57.290148973464966['note_off', 91, 100, 57.29014896522522, 'accompaniment', 3]
58.30580711364746['note_on', 88, 68.47999999999999, 58.30580675178891, 'accompaniment', 5]
58.311362981796265['note_off', 86, 100, 58.306806751788905, 'accompaniment', 4]
58.373284101486206['note_off', 86, 100, 58.37201809059143, 'accompaniment', 4]
62.47516489028931['note_on', 93, 79.52, 62.443742478149375, 'accompaniment', 6]
62.47521781921387['note_off', 88, 100, 62.44474247814937, 'accompaniment', 5]
65.06122589111328['note_on', 81, 89.36, 65.05751511417867, 'accompaniment', 7]
65.06751775741577['note_off', 93, 100, 65.05851511417868, 'accompaniment', 6]
65.12814998626709['note_off', 93, 100, 65.12814973960877, 'accompaniment', 6]
65.59155988693237['note_on', 83, 93.2, 65.58762988311139, 'accompaniment', 8]
65.59160995483398['note_off', 81, 100, 65.5886298831114, 'accompaniment', 7]
65.65864491462708['note_off', 81, 100, 65.65864490638734, 'accompaniment', 7]
66.10603904724121['note_on', 84, 94.64, 66.10603809194588, 'accompaniment', 9]
66.10703897476196['note_off', 83, 100, 66.10703809194588, 'accompaniment', 8]
66.19489789009094['note_off', 83, 100, 66.19291686187745, 'accompaniment', 8]
66.6406979560852['note_on', 86, 92.96, 66.63150825442587, 'accompaniment', 10]
66.64074993133545['note_off', 84, 100, 66.63250825442587, 'accompaniment', 9]
66.73872590065002['note_off', 84, 100, 66.73114203582765, 'accompaniment', 9]
68.17081189155579['note_on', 88, 82.4, 68.15562303670654, 'accompaniment', 11]
68.17086291313171['note_off', 86, 100, 68.15662303670655, 'accompaniment', 10]
68.30155992507935['note_off', 86, 100, 68.29976104866029, 'accompaniment', 10]
68.7768828868866['note_on', 86, 68.72, 68.76337182199428, 'accompaniment', 12]
68.78950595855713['note_off', 88, 100, 68.76437182199429, 'accompaniment', 11]
70.78996706008911['note_on', 91, 73.28, 70.78509675533839, 'accompaniment', 13]
70.80235385894775['note_off', 86, 100, 70.78609675533839, 'accompaniment', 12]
70.95007085800171['note_off', 86, 100, 70.94166802536012, 'accompaniment', 12]
73.41769790649414['note_on', 79, 86.72, 73.41311822737397, 'accompaniment', 14]
73.41773390769958['note_off', 91, 100, 73.41411822737398, 'accompaniment', 13]
73.91527891159058['note_on', 81, 80.47999999999999, 73.9152782924134, 'accompaniment', 15]
73.92795205116272['note_off', 79, 100, 73.91627829241341, 'accompaniment', 14]
74.01487302780151['note_off', 79, 100, 74.00726389060975, 'accompaniment', 14]
74.43461990356445['note_on', 83, 85.39999999999999, 74.43290415702204, 'accompaniment', 16]
74.44715476036072['note_off', 81, 100, 74.43390415702204, 'accompaniment', 15]
74.95922875404358['note_on', 84, 95.3, 74.95838979931558, 'accompaniment', 17]
74.95938992500305['note_off', 83, 100, 74.95938979931559, 'accompaniment', 16]
75.04693388938904['note_off', 83, 100, 75.04482912193299, 'accompaniment', 16]
76.58323287963867['note_on', 86, 89.36, 76.57729261495318, 'accompaniment', 18]
76.59515380859375['note_off', 84, 100, 76.57829261495318, 'accompaniment', 17]
77.0529568195343['note_on', 84, 75.5, 77.05295627612657, 'accompaniment', 19]
77.05395984649658['note_off', 86, 100, 77.05395627612657, 'accompaniment', 18]
77.20144581794739['note_off', 86, 100, 77.19428395401002, 'accompaniment', 18]
79.23954510688782['note_on', 96, 73.75999999999999, 79.22830339137124, 'accompaniment', 20]
79.25719976425171['note_off', 84, 100, 79.22930339137125, 'accompaniment', 19]
81.88656997680664['note_on', 84, 79.52, 81.88116022055588, 'accompaniment', 21]
81.91797399520874['note_off', 96, 100, 81.88216022055589, 'accompaniment', 20]
82.37783288955688['note_on', 86, 79.03999999999999, 82.370539118097, 'accompaniment', 22]
82.37789368629456['note_off', 84, 100, 82.371539118097, 'accompaniment', 21]
82.51838302612305['note_off', 84, 100, 82.51683591972352, 'accompaniment', 21]
82.9967679977417['note_on', 88, 81.5, 82.99676791702271, 'accompaniment', 23]
82.99776792526245['note_off', 86, 100, 82.99776791702271, 'accompaniment', 22]
83.51774787902832['note_on', 90, 77.9, 83.51591641072774, 'accompaniment', 24]
83.51779985427856['note_off', 88, 100, 83.51691641072775, 'accompaniment', 23]
83.62211871147156['note_off', 88, 100, 83.61997675071717, 'accompaniment', 23]
85.04531693458557['note_on', 88, 81.44, 85.04234137637447, 'accompaniment', 25]
85.05789995193481['note_off', 90, 100, 85.04334137637447, 'accompaniment', 24]
85.53341293334961['note_on', 86, 80.9, 85.53341291093432, 'accompaniment', 26]
85.53950881958008['note_off', 88, 100, 85.53441291093432, 'accompaniment', 25]
85.6249098777771['note_off', 88, 100, 85.62490986953736, 'accompaniment', 25]
86.54312014579773['note_on', 81, 79.75999999999999, 86.53939968257386, 'accompaniment', 27]
86.54315900802612['note_off', 86, 100, 86.54039968257386, 'accompaniment', 26]
86.610182762146['note_off', 86, 100, 86.61018203865052, 'accompaniment', 26]
87.59000492095947['note_on', 83, 76.64, 87.59000443082812, 'accompaniment', 28]
87.59583187103271['note_off', 81, 100, 87.59100443082812, 'accompaniment', 27]
87.71276593208313['note_off', 81, 100, 87.71276592384339, 'accompaniment', 27]
90.85507607460022['note_on', 86, 70.4, 90.85507599043926, 'accompaniment', 29]
90.85607600212097['note_off', 83, 100, 90.85607599043927, 'accompaniment', 28]
90.95386099815369['note_off', 83, 100, 90.95386098991395, 'accompaniment', 28]
91.93117094039917['note_on', 88, 69.19999999999999, 91.92205847599115, 'accompaniment', 30]
91.95632791519165['note_off', 86, 100, 91.92305847599116, 'accompaniment', 29]
94.66113185882568['note_on', 88, 95.6, 94.65843834552905, 'accompaniment', 31]
95.16508889198303['note_on', 89, 100.64, 95.16508841978717, 'accompaniment', 32]
95.16608881950378['note_off', 88, 100, 95.16608841978717, 'accompaniment', 31]
95.23206496238708['note_off', 88, 100, 95.23206495414735, 'accompaniment', 31]
95.72977185249329['note_on', 91, 102.8, 95.7297716349062, 'accompaniment', 33]
95.73077178001404['note_off', 89, 100, 95.7307716349062, 'accompaniment', 32]
95.79891610145569['note_off', 89, 100, 95.79679607521058, 'accompaniment', 32]
96.29537510871887['note_on', 93, 92.47999999999999, 96.2953748474575, 'accompaniment', 34]
96.29637503623962['note_off', 91, 100, 96.2963748474575, 'accompaniment', 33]
96.38952398300171['note_off', 91, 100, 96.3885390676117, 'accompaniment', 33]
